Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1,CSP_X2_maj,CSP_X2_min,CSD_X2
0,0.4660426209918343,0.06668005623619201,0.3993625647556423,0.8501275510204082,0.1675498359828413,0.6825777150375669,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,0.4660940776989913,0.0657855211775308,0.4003085565214605,0.8571122536418166,0.16429107276819205,0.6928211808736247,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,0.46693926398723445,0.06698084829038403,0.3999584156968504,0.8572651401669164,0.16725087631447172,0.6900142638524447,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,0.4686754176610978,0.06657280772325021,0.40210260993784763,0.8602675727330643,0.16725618999494693,0.6930113827381174,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,0.4696408922676803,0.06548035589323203,0.40416053637444826,0.8589716236398549,0.16457286432160803,0.6943987593182469,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,0.4671098323246354,0.06531599637133353,0.40179383595330187,0.8598091198303287,0.16396761133603238,0.6958415084942964,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,0.46763381690845424,0.06376811594202898,0.40386570096642527,0.8614136237454623,0.16014056224899598,0.7012730614964663,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,0.4692423482187657,0.06985550572994519,0.3993868424888205,0.8613076098606646,0.1751624187906047,0.6861451910700599,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,0.4648718975180144,0.0666466826538769,0.3982252148641375,0.8546971966616734,0.16700050075112668,0.6876966959105467,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,0.4689831374552887,0.06558981889378365,0.40339331856150507,0.8629331008934409,0.16429622363903876,0.6986368772544022,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,0.4626494023904382,0.06967871485943775,0.3929706875310005,0.8616052060737527,0.17106236135075178,0.6905428447230009,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,0.45791245791245794,0.063623510401939,0.3942889475105189,0.8491536318834368,0.1575,0.6916536318834369,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,0.4601743610065385,0.06904906117504543,0.3911252998314931,0.8569283569283569,0.1707865168539326,0.6861418400744244,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,0.4748093135287033,0.06865284974093264,0.4061564637877707,0.8634512325830653,0.1721639180409795,0.6912873145420858,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,0.46712976945535084,0.06625608423562133,0.4008736852197295,0.8527131782945736,0.16579666915237384,0.6869165091421998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,0.4637551101804766,0.0650887573964497,0.3986663527840269,0.8565310492505354,0.1623717788341256,0.6941592704164098,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,0.46773551085441145,0.06758385217915244,0.40015165867525904,0.856473594548552,0.16947872072525813,0.6869948738232938,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,0.46976651366992617,0.06895169372619764,0.40081481994372853,0.8616953473550032,0.17373737373737375,0.6879579736176294,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,0.468,0.0652,0.40280000000000005,0.867700926524456,0.16194734227521113,0.7057535842492448,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,0.46716921245784565,0.07138535995160314,0.3957838525062425,0.8576603451949713,0.17815802717664822,0.6795023180183231,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
